iter	RMSE
0	0.8478237922
1	0.8436133798
2	0.8396050251
3	0.8365152988
4	0.8333442054
5	0.8301118103
6	0.8287402534
7	0.8250926245
8	0.8216302432
9	0.8193129999
10	0.8167352935
11	0.8152449146
12	0.8132841584
13	0.8105614379
14	0.8089291456
15	0.8075150872
16	0.8051418541
17	0.8039003029
18	0.8018136887
19	0.8004779421
20	0.7986579066
21	0.7976817666
22	0.7965498446
23	0.7950669163
24	0.7938139535
25	0.7925542479
26	0.7915357544
27	0.7899363944
28	0.7889454651
29	0.7877728433
30	0.7868582147
31	0.7865413933
32	0.7863522726
33	0.7845077725
34	0.7835889276
35	0.7825895804
36	0.7816563522
37	0.780598202
38	0.7795739162
39	0.7787419272
40	0.7781019038
41	0.7773613773
42	0.7764432357
43	0.775724876
44	0.7749640274
45	0.7746158462
46	0.7739021547
47	0.7731465514
48	0.7725103676
49	0.7713983549
50	0.7706524075
51	0.7703039296
52	0.7695869848
53	0.769147028
54	0.7686439775
55	0.76815954
56	0.7676898049
57	0.7667757376
58	0.7664939349
59	0.765386623
60	0.7651132241
61	0.7646371444
62	0.7641655719
63	0.7633815687
64	0.7626687466
65	0.7619512788
66	0.7615044419
67	0.7613307053
68	0.7610897187
69	0.7608615733
70	0.7602626794
71	0.760054987
72	0.7598668578
73	0.7598402461
74	0.7592115795
75	0.7590125912
76	0.7582893787
77	0.7578864189
78	0.7578103059
79	0.7575657215
80	0.7571253837
81	0.7569674812
82	0.7568912668
83	0.7568141858
84	0.756511987
85	0.7562684924
86	0.7560311611
87	0.7558634045
88	0.755626818
89	0.7552908576
90	0.755208915
91	0.7551422204
92	0.7544232749
93	0.7542663699
94	0.7539188786
95	0.7536329179
96	0.7533234554
97	0.7530500978
98	0.7528734596
99	0.7523372037
100	0.7520900449
101	0.7514053784
102	0.7511337686
103	0.7509565872
104	0.7503672346
105	0.7502501193
106	0.750120077
107	0.7496069418
108	0.749517392
109	0.7492846174
110	0.7491845103
111	0.7490621328
112	0.7484343879
113	0.74792794
114	0.7476811313
115	0.7474279674
116	0.7473739919
117	0.7471142909
118	0.7469513092
119	0.7467299064
120	0.7466521524
121	0.7463017817
122	0.746086222
123	0.7459562421
124	0.7456979187
125	0.7456626384
126	0.7451402821
127	0.7450059088
128	0.7444375816
129	0.7441743407
130	0.744021637
131	0.7436005607
132	0.7434587111
133	0.7431623156
134	0.7430413409
135	0.7428593621
136	0.7422747064
137	0.7421208718
138	0.7419859367
139	0.7416838875
140	0.7416819827
141	0.7415132423
142	0.7414451115
143	0.7412846279
144	0.7411805759
145	0.7411006056
146	0.7410233744
147	0.7409473061
148	0.7406624488
149	0.7405258872
150	0.7404186981
151	0.7402815579
152	0.7399069182
153	0.7397933759
154	0.7397392148
155	0.73948305
156	0.739439724
157	0.7391189467
158	0.7390278167
159	0.7388388074
160	0.7385622075
161	0.7383556904
162	0.7382875053
163	0.7380501446
164	0.7377517566
165	0.7375208174
166	0.7374604974
167	0.7372804653
168	0.7370009981
169	0.7368222668
170	0.7367246011
171	0.736534923
172	0.7365188792
173	0.7362126612
174	0.7360290228
175	0.7358785169
176	0.7358092201
177	0.7357090656
178	0.7351683223
179	0.7351017872
180	0.7350087123
181	0.7349182621
182	0.7348665756
183	0.7344506869
184	0.7343040427
185	0.7342401135
186	0.7339553738
187	0.7337634554
188	0.7333218988
189	0.7331385935
190	0.7327090722
191	0.7324125095
192	0.7322534523
193	0.7322338952
194	0.7321478152
195	0.732034047
196	0.7319732399
197	0.7318969473
198	0.7318301542
199	0.7317810957
200	0.731653203
201	0.7316304512
202	0.7314693034
203	0.7312933495
204	0.7311905647
205	0.7310703235
206	0.7309222145
207	0.7307485067
208	0.7304866068
209	0.7304396328
210	0.7301670142
211	0.730015694
212	0.7298985904
213	0.7295985321
214	0.7290936407
215	0.7289390243
216	0.7288691674
217	0.728808479
218	0.7287472006
219	0.7286671284
220	0.7283257332
221	0.7279887657
222	0.7276852591
223	0.7273501883
224	0.7272559157
225	0.7272007942
226	0.7270681969
227	0.7268063579
228	0.7264829711
229	0.7264319663
230	0.7261566772
231	0.7259888221
232	0.725719649
233	0.7255373335
234	0.7255079224
235	0.7253502825
236	0.7251205014
237	0.7249924798
238	0.7249591674
239	0.7248841758
240	0.7247285475
241	0.7245358312
242	0.7244942931
243	0.7242588237
244	0.7242000488
245	0.7241926818
246	0.7239841527
247	0.7239206656
248	0.7238885178
249	0.7238531998
250	0.7236470376
251	0.7234069729
252	0.7233099325
253	0.7230518498
254	0.7228849164
255	0.7228764043
256	0.7228199818
257	0.7228144567
258	0.7225696974
259	0.722305454
260	0.7222745671
261	0.7220415066
262	0.7218651153
263	0.7218236469
264	0.7218183598
265	0.7215335913
266	0.7214736146
267	0.721344799
268	0.721326302
269	0.721202037
270	0.721179071
271	0.7209255704
272	0.7209187105
273	0.7207958177
274	0.720724111
275	0.72069788
276	0.7206033012
277	0.7203986634
278	0.7201503121
279	0.7199698357
280	0.7199516633
281	0.7197505602
282	0.7196415598
283	0.7193831788
284	0.7192386521
285	0.7191124842
286	0.71895578
287	0.7187288949
288	0.7186108925
289	0.718587739
290	0.7185658291
291	0.718514451
292	0.7183469936
293	0.7181559522
294	0.717913934
295	0.7179000025
296	0.7176807177
297	0.7176157811
298	0.7175526112
299	0.7174822351
300	0.7173456924
301	0.71716275
302	0.7170131719
303	0.7168969841
304	0.7167990821
305	0.7167219226
306	0.7167006149
307	0.7166635611
308	0.7165605025
309	0.7164478305
310	0.7163477818
311	0.7163350171
312	0.7163157553
313	0.7161513586
314	0.715975769
315	0.7158466697
316	0.7156760367
317	0.7156642243
318	0.7156510336
319	0.7156405121
320	0.7156081668
321	0.7154910768
322	0.7154788493
323	0.7154735709
324	0.7153129979
325	0.7152631436
326	0.7151058114
327	0.7149866049
328	0.7148291448
329	0.7148000955
330	0.7145804407
331	0.7145543781
332	0.714550566
333	0.7144004603
334	0.7143017164
335	0.7142968204
336	0.7140953139
337	0.7140918782
338	0.7139598182
339	0.7139166468
340	0.7138815426
341	0.7136907249
342	0.7135697311
343	0.7134914888
344	0.7134541692
345	0.7132866145
346	0.7132080789
347	0.7130795125
348	0.7129355088
349	0.7127903764
350	0.7126191684
351	0.7126107002
352	0.7125078251
353	0.7124024621
354	0.7123085673
355	0.7122068229
356	0.7120296865
357	0.7118803945
358	0.7117925948
359	0.7116395707
360	0.7114936455
361	0.7114460409
362	0.7113179466
363	0.711192346
364	0.7111767846
365	0.7110723026
366	0.711069511
367	0.7109861828
368	0.7108093645
369	0.7107149686
370	0.7107092603
371	0.7105826925
372	0.7104780243
373	0.7103866263
374	0.7102582402
375	0.7101332356
376	0.7101101771
377	0.7099396782
378	0.7098869205
379	0.709761666
380	0.7096735846
381	0.709567977
382	0.7095535178
383	0.7094473456
384	0.7094147577
385	0.7093387697
386	0.7092846748
387	0.709224586
388	0.7092165338
389	0.7091472974
390	0.7090248835
391	0.7089462661
392	0.7088081339
393	0.7086929331
394	0.7085735682
395	0.7085432991
396	0.7084983256
397	0.7083839562
398	0.7083752898
399	0.7082888664
400	0.7082028486
401	0.7081080212
402	0.708091711
403	0.7080002904
404	0.7079088803
405	0.7078375699
406	0.7078295926
407	0.7077643722
408	0.7077575125
409	0.7076469384
410	0.707531193
411	0.7075135322
412	0.7074082344
413	0.707356971
414	0.7072126131
415	0.7071688078
416	0.7071667282
417	0.7070303904
418	0.7069094859
419	0.7068817412
420	0.7068147243
421	0.7066996609
422	0.7066270245
423	0.7065962228
424	0.7063861197
425	0.7063357266
426	0.7063035051
427	0.706268511
428	0.7061520671
429	0.7061492772
430	0.7060588452
431	0.7059452448
432	0.7059379653
433	0.7058849536
434	0.7057436809
435	0.705716407
436	0.7056217479
437	0.7055872972
438	0.70551583
439	0.7055083506
440	0.7054811366
441	0.7054170414
442	0.7054100998
443	0.705374056
444	0.7052860187
445	0.7052459293
446	0.7051537775
447	0.7050362721
448	0.7050293074
449	0.7050042078
450	0.7048920827
451	0.7048313383
452	0.7047506171
453	0.7047313993
454	0.7046319328
455	0.7045605376
456	0.70445355
457	0.7044404935
458	0.7044379812
459	0.7043237328
460	0.7042565552
461	0.7041969395
462	0.7041860291
463	0.7040934396
464	0.7040746155
465	0.7040351425
466	0.7040167551
467	0.7038877805
468	0.7038730657
469	0.7038493222
470	0.7037401287
471	0.7037037957
472	0.7036036101
473	0.7035769041
474	0.7035668186
475	0.7035177861
476	0.7034660838
477	0.7033775601
478	0.7033518488
479	0.703300762
480	0.7032411617
481	0.7031614144
482	0.7031570879
483	0.7031411811
484	0.7031027387
485	0.7030743191
486	0.703032875
487	0.7030105749
488	0.702948381
489	0.7029063602
490	0.702848925
491	0.7027852163
492	0.7027607636
493	0.7027383217
494	0.7027006282
495	0.7026555032
496	0.7025983537
497	0.7025907099
498	0.7025779461
499	0.7025699851
500	0.702495282
501	0.70241291
502	0.7023385389
503	0.7022488785
504	0.7021975303
505	0.7021960486
506	0.7021759582
507	0.7020945713
508	0.7019429161
509	0.701894437
510	0.701797289
511	0.7017664947
512	0.7017058534
513	0.7016134798
514	0.7015556341
515	0.7014876746
516	0.7014449989
517	0.7013919402
518	0.7013450972
519	0.7012861359
520	0.7012593176
521	0.7012116928
522	0.7011450677
523	0.7011328457
524	0.701056769
525	0.7010123065
526	0.7009534667
527	0.7009466597
528	0.7009417765
529	0.7009017503
530	0.7008073175
531	0.7008038676
532	0.7007889923
533	0.7007306004
534	0.7006759111
535	0.7006705503
536	0.7006021851
537	0.7005987697
538	0.7005578791
539	0.7005566981
540	0.700552962
541	0.7005479837
542	0.7004873934
543	0.7004534382
544	0.7003804162
545	0.7003481388
546	0.7003019962
547	0.7002938215
548	0.7002156322
549	0.7001601972
550	0.7001576561
551	0.7001058746
552	0.700068613
553	0.7000613282
554	0.7000120757
555	0.6999813195
556	0.699913307
557	0.6999067405
558	0.6998152694
559	0.6998133718
560	0.6997183414
561	0.6996575841
562	0.6995770135
563	0.6994602548
564	0.69940974
565	0.6993496831
566	0.6993382067
567	0.6993035199
568	0.6992130126
569	0.6991453039
570	0.699119838
571	0.6990948464
572	0.6990794246
573	0.6990598329
574	0.6989838238
575	0.6989530076
576	0.698871696
577	0.6988509563
578	0.6988218705
579	0.6987577991
580	0.6987220083
581	0.6987187357
582	0.6986438172
583	0.6985867393
584	0.6985627962
585	0.6985601899
586	0.6985180316
587	0.6985117075
588	0.6984807563
589	0.6984609478
590	0.6983811956
591	0.6983028755
592	0.6982842156
593	0.698277288
594	0.6982238604
595	0.6981766263
596	0.6981373789
597	0.6981121134
598	0.6981010158
599	0.6980583363
600	0.6979692193
601	0.6979681021
602	0.697964025
603	0.6978799611
604	0.6978530589
605	0.6978416364
606	0.6978157005
