iter	Passed	Remaining
0	1	1435
1	3	1505
2	4	1478
3	5	1455
4	7	1449
5	8	1428
6	9	1347
7	10	1353
8	12	1347
9	13	1354
10	14	1345
11	16	1357
12	17	1360
13	19	1364
14	20	1370
15	22	1377
16	23	1386
17	25	1391
18	26	1390
19	28	1387
20	29	1384
21	31	1385
22	32	1380
23	33	1376
24	35	1375
25	36	1374
26	38	1371
27	39	1365
28	40	1365
29	42	1364
30	43	1358
31	44	1339
32	44	1317
33	46	1315
34	47	1315
35	49	1315
36	50	1313
37	51	1312
38	53	1314
39	54	1313
40	56	1310
41	57	1310
42	58	1307
43	60	1304
44	61	1300
45	62	1291
46	63	1290
47	65	1289
48	66	1289
49	67	1289
50	69	1290
51	70	1291
52	72	1291
53	73	1293
54	75	1292
55	76	1291
56	77	1288
57	79	1286
58	80	1288
59	82	1289
60	83	1287
61	85	1289
62	86	1290
63	88	1300
64	90	1302
65	92	1305
66	93	1306
67	95	1308
68	97	1312
69	98	1314
70	100	1321
71	102	1322
72	104	1321
73	105	1314
74	107	1321
75	108	1318
76	109	1316
77	111	1314
78	112	1306
79	113	1303
80	115	1305
81	117	1313
82	118	1309
83	119	1305
84	121	1302
85	122	1301
86	123	1297
87	125	1295
88	126	1291
89	127	1289
90	129	1288
91	130	1284
92	131	1282
93	132	1281
94	134	1279
95	135	1273
96	136	1272
97	138	1270
98	139	1268
99	140	1266
100	142	1264
101	143	1263
102	144	1261
103	146	1259
104	147	1257
105	148	1255
106	150	1257
107	151	1252
108	153	1250
109	154	1248
110	155	1247
111	157	1245
112	158	1244
113	160	1248
114	162	1247
115	163	1246
116	164	1244
117	166	1243
118	167	1241
119	168	1239
120	170	1237
121	171	1235
122	173	1234
123	174	1233
124	175	1231
125	177	1229
126	178	1228
127	179	1225
128	181	1223
129	182	1222
130	184	1220
131	185	1218
132	186	1217
133	189	1223
134	190	1220
135	191	1219
136	193	1217
137	194	1215
138	195	1213
139	197	1211
140	197	1206
141	199	1204
142	200	1202
143	202	1202
144	204	1202
145	205	1201
146	206	1198
147	207	1196
148	209	1195
149	210	1193
150	211	1191
151	213	1190
152	214	1186
153	215	1185
154	217	1186
155	219	1184
156	220	1182
157	221	1181
158	222	1179
159	224	1177
160	225	1176
161	227	1174
162	228	1172
163	229	1172
164	231	1171
165	232	1169
166	234	1167
167	235	1166
168	236	1165
169	238	1163
170	239	1162
171	240	1160
172	242	1158
173	243	1156
174	245	1155
175	246	1153
176	247	1151
177	249	1150
178	250	1148
179	251	1146
180	253	1145
181	254	1142
182	255	1141
183	257	1140
184	258	1138
185	259	1136
186	261	1135
187	262	1134
188	263	1132
189	265	1130
190	266	1129
191	268	1128
192	269	1126
193	270	1124
194	271	1122
195	273	1120
196	274	1118
197	275	1116
198	277	1115
199	278	1113
200	279	1111
201	280	1109
202	282	1108
203	283	1106
204	284	1105
205	286	1103
206	287	1101
207	288	1099
208	290	1097
209	291	1095
210	292	1094
211	294	1092
212	295	1090
213	296	1089
214	298	1088
215	299	1086
