Job_position,Company,requirements,rating,experience,avg_yearly_sal,work_category,education_level,job_title,State,Cities
junior software developer,gather network,actively looking fresher want start career blockchain technology extreme desire work closely industry,,,240000.0,0,0,0,7,47
big data developer,agile placement,strong knowledge programming scripting language java spark python r experience major big data technology framework including,,total work year,950000.0,0,0,0,13,7
data scientist,client placeelements hr,experience working closely data analyst involved customer project hiring data scientist software company temporarily due covid,,python algorithm statistic yeardata scientist yearsbachelor,750000.0,0,1,0,11,57
software engineer machine learning engineer,siemens technology service private limited,experience machine learning architecture computer vision application experience c python good scripting programming skill,4.0,,0.0,0,0,0,13,7
machine learning fullstack sadhashiva nagar bangalore,teqlinx software solution llc,extremely strong programming background data structure algorithm worked product development company capable,,,3000000.0,0,0,0,10,2
java j ee developer fresher required,www yansisofsol com,sanitising disinfecting cleaning procedure place need candidate willing explore career software industry prove,,,342000.0,0,0,0,23,4
machine learning engineer,vn softsol,experienced stream batch data processing experience working time series data analysis engineer data pipeline spark beam flink scala,,,0.0,0,0,0,26,63
machine learning engineer data scientist,rr somac gmbh,includes data processing data exploration ml model development training well deployment working agile cross functional team order,,,0.0,0,0,0,26,63
fresher software developer,acies global,online programming test next day previous round excited announce career opportunity fresher graduating,,,0.0,0,0,0,38,1222
data scientist consultant,krypt inc,developing customized machine learning algorithm expertise machine learning statistical modeling year recent professional industry experience,,,0.0,0,0,0,10,2
data engineer etl developer,acies,able design quality management scheme plan data migration activity including validation loaded data ensure maximum efficiency,,dataengineer etl developer yeardatawarehousing yearbachelor,719095.5,0,1,0,22,5
data scientist machine learning consultant uk location,imurgence,exposure machine learning model corresponding statistic like k mean bayesian clustering data wrangling data cleansing experience,,,0.0,0,0,0,37,1222
software engineer developer,perfectkode software technology,need posse good communication skill strong inclination work data algorithm perfectkode software technology looking onboard,,,195000.0,0,0,0,26,63
software engineer,inflolabs private limited,good java javascript dive deep work software technology required basic working knowledge angularjs reactjs motivation learn,,,348000.0,0,0,0,38,1222
intern software developer,indiafin technology ltd,internship selected intern day day responsibility include job description looking software development intern help u,,,6500.0,0,0,0,26,63
data applied scientist,microsoft,bachelor degree higher data science statistic computer science engineering another quant focused field want talk,4.2,,0.0,0,1,0,23,4
software developer,campfire graphic novel,provide clear documentation work done write clear understandable code scratch work issue bug assigned time time basis,,web development yearstotal work yearsjavascript year,720000.0,0,0,0,32,1
data scientist machine learning,blue yonder,working knowledge data science machine learning foundation guidance independently design implement machine learning model,,,0.0,0,0,0,10,2
data scientist ai expert,siemens technology service private limited,proven experience data scientist data analyst experience understanding machine learning operation research world never stand still,4.0,,0.0,0,0,0,7,47
data developer machine learning analyst,netapp,excited data analytics deriving insight petabyte data using modern machine learning technique,4.1,,0.0,0,0,0,10,2
data scientist,reverenc technology pvt ltd,reverenc technology looking data scientist machine learning artificial intelligence application knowledge data scientist year preferred,,,210000.0,0,0,0,13,7
manager data scientist machine learning nlp nlu python,softobiz technology,familiarity one deep learning software framework tensorflow pytorch design develop deliver ai machine learning enabled solution,3.4,,0.0,0,0,0,19,265
wanted fresher software engineer,stc technology,sanitising disinfecting cleaning procedure place candidate graduation bca bsc mca msc computer science,4.1,bachelor,210000.0,0,1,0,11,1222
data scientist,alpslogic solution,year relevant professional experience autonomous data analytics data science role knowledge statistic computer science machine,,,0.0,0,0,0,6,1016
data scientist,barclays,ability understand infrastructure team involved able provide solution either individually working team,3.9,,0.0,0,0,0,13,7
bo developer admin,iris software,start stop restart bo app web server service bi launchpad bo service unavailable performance tune webi report,2.7,,0.0,0,0,0,37,1222
data scientist metal digital,abb,required year implementation experience software digital solution manufacturing sector preferably metal industry,4.0,,0.0,0,0,0,10,2
data entry operator fresher,kcm software pvt ltd,data entry year preferred knowledge computer operating system m office software looking data entry operator hadapsar pune,,,246000.0,0,0,0,13,7
online lecturer data science,linc education service pte ltd singapore,year corporate experience teaching experience field data science business analytics leading university college,,,480000.0,0,0,0,13,7
software developer,f dgo technology,looking full time developer good knowledge wordpress html php salary per month total work year required,,net yearswork yearstotal work year,300000.0,2,0,0,26,63
java j ee developer,sdg software india,best market compensation learning experience sdg software india private limited www sdgc com hiring java developer,,java yearsbachelor,600000.0,0,1,0,26,63
sr data scientist,insisiv lab,collaborate data scientist data analyst build tune optimize machine learning model solve tangible problem medical domain,,work yearsbachelor,1955112.0,0,1,0,10,2
software developer,b technology pvt ltd,software development year required unity webgl c year preferred b technology fast paced startup company ready taking,,software development yearbachelor,0.0,0,1,0,38,1222
machine learning developer,quest global engineering,knowledge data pre processing step uploading creating master data set extracting right data external knowledge spark hadoop plus,3.3,,0.0,0,2,0,23,4
software development internship,jarvis technology strategy consulting,integrate data storage data processing solution student fresher apply already graduated currently year,,,240000.0,0,3,0,32,1
unity developer,webcoir solution pvt ltd,noida nearby candidate relocate apply prior experience well known mobile title aaa title significant asset,,software development yearscharacter motion creation yearsunity game development year,360000.0,0,0,0,26,63
intern software engineering nlp ai,qwerty thought medium pvt ltd,qwerty thought reimagining future book publishing industry applying advance machine learning artificial intelligence ai,,,12000.0,0,0,0,7,47
data scientist machine learning expert,spectrus,excellent understanding machine learning technique algorithm good applied statistic skill distribution statistical testing regression,,,0.0,0,0,0,10,2
jr software developer machine learning artificial intel,v solution,understanding data structure data modelling software architecture bachelor degree accredited university computer engineering computer,3.7,,0.0,0,1,0,13,0
html developer,professional manpower service,net javascript ruby rail b computer science related field proven working experience web programming cs cs year preferred,,,450000.0,0,0,0,26,63
data scientist h f,soci g n rale,design implement scalable predictive model classifier leveraging machine learning data regression good awareness entire machine learning,3.9,,0.0,0,0,0,10,2
web developer internship virtual,bluetick consultant llp,looking web developer help u lay foundation pixel innovative way customer salary per month,,,180000.0,0,0,0,10,2
data scientist,team computer,understand high level problem provide set solution solve using machine learning otherwise model predict npa bad debt,3.7,,0.0,0,0,0,32,1
data scientist,eaton,advanced degree specialization related descipline e g machine learning master data science pursuing phd datascience equivalent,3.8,,0.0,0,2,0,13,7
data scientist,sybill,year experience data scientist machine learning engineer ml research engineer nlp engineer related role,,,0.0,0,0,0,38,1222
data scientist,nutanix,develop custom data model algorithm apply data set looking someone year experience manipulating data set building,3.9,,0.0,0,0,0,10,2
machine learning researcher,graviton research capital llp,lead independent research applying machine learning wide variety datasets trading problem experience software engineering python c,,,0.0,0,0,0,7,47
computer vision research engineer machine learning,mercedes benz research development india priva,demonstrated past algorithm development least one area within machine learning like neural network clustering object tracking,4.0,,0.0,0,0,0,10,2
full stack developer,bct pvt ltd,btech bsc top university self made programmer great freelancing experience good understanding mobile app development using flutter,,total work year,660000.0,0,0,0,32,1
software developer,conneqt business solution limited,personal protective equipment provided required sanitising disinfecting cleaning procedure place official job location jamshedpur jharkhand,3.7,net app developement asp net html bootstrap java year net yearjavascript year,240000.0,0,0,0,9,64
data scientist gofood bangalore,go jek,design develop various machine learning solution improving search relevance least year experience building machine learning model,,,0.0,0,0,0,10,2
junior java developer,realcoderz technology pvt ltd,knowledge relevant work experience following programming language technology java j ee c c xml xhtml cgi python,,,240000.0,0,0,0,26,63
software engineer java developer,success number,sky limit learning earning looking smart java developer willing learn new technology like nodejs aws cloud etc teach,,,600000.0,0,0,0,26,63
artificial intelligence machine learning,lomaa solution,machine learning deep tech programming c c natural language processing speech recognition computer vision reinforcement learning,,,210000.0,0,0,0,0,13
data tagging internship,decimal technology,help aggregate clean organize data machine learning application student fresher apply relevant skill interest,3.3,,180000.0,0,0,0,7,47
data scientist,grameen foundation,working knowledge data mining principle predictive analytics cleansing mapping collecting data multiple data system premise cloud based,,,0.0,0,0,0,7,47
ai machine learning consultant,ani call india private limited,background natural language processing machine learning strong computer science fundamental algorithm data structure,,,1200000.0,0,0,0,26,63
data scientist gaia india job stage,ericsson,ass effectiveness new data source data gathering technique develop custom data model algorithm apply data set,4.1,,0.0,0,0,0,10,2
