Software Tester,"DivIHN Integration, IncRemoteRemote","₹25,000 - ₹50,000 a month","We are looking for a results-driven software tester who will be responsible for designing, maintaining, and running tests on the web application being developed. The software tester will conduct manual testing, record the bugs in Jira and track it to closure. During the design phase, he/she will be working closely with the Web Designer and the Product Owner to understand the functionalities to be delivered. In the development phase, he/she will interact with the development team to provide support and ensure that the code developed meets the business requirements provided in the FRDs.
The software tester should be result-driven, have good communication skills, logical and analytical thinking. Knowledge of automation testing will be an added advantage.
Role and Responsibilities

Review business requirements and define test strategy.
Prepare dataset based on the approved web design
Prepare test cases, test scripts, and test data.
Maintain test cases in Test Rail, plan test runs, and prepare reports.
Execute tests (manual/automated).
Report defects and track them to closure.
Interact with Product owner when required to report on the defect analysis, testing progress, and product functionality.
Analyze test results and track product testing metrics.
Prepare and present test reports
Change Management - Track and deliver change requests


Skills/Values
Any Bachelor’s Degree with 3+ years of experience as a functional tester
Good knowledge of testing web applications
Experience in Automation, Load Testing, Stress Testing, and Responsive Testing will be good to have.
Proficiency in written and spoken English.

Job Type: Full-time
Pay: ₹25,000.00 - ₹50,000.00 per month
Benefits:

Provident Fund
Work from home

Schedule:

US shift

Experience:

Manual testing: 1 year (Preferred)
Software Quality Assurance Occupations: 1 year (Preferred)
Software testing: 1 year (Preferred)
",na
Project Coordinator,"Hestabit Technologies Private LimitedNoida, Uttar Pradesh","₹4,50,000 - ₹8,00,000 a year","Hiring Project Coordinator!HestaBit is looking for an Project Coordinator who can assist their clients in completing their dream projects.Here we are sharing the opportunity to work with us and deliver some amazing projects to the world.
Job Description

Manage Project from initiation to delivery.


Client Account Management.


Gather project requirement's.


Keep track on day to day task performed by the team.


Documentation (SRS, FRD, etc.) and Wireframing.


Service delivery management.


Creating and executing Sprints.


Manage Scope, Time, and Cost of the project.


Managing the quality aspects of the project.


Bridge between manager, team and clients

Job Details

CTC:  best in industry


Industry:  IT/Software Services


Functional Area:  Project Management


Role:  Project Coordinator


Employment Type:  Permanent Job, Full Time


Company's URL:  https://www.hestabit.com/

Job Type: Full-time
Salary: ₹450,000.00 - ₹800,000.00 per year
Benefits:

Health insurance

Schedule:

Day shift

Supplemental Pay:

Performance bonus
Yearly bonus
",na
Trainee Software Engineer,"Bonushub Digital Solutions Pvt. Ltd2 reviewsDelhi, Delhi","₹8,895 - ₹22,064 a month","Job Title - Trainee Dot Net Developer
Key Skills: 

Work diligently under the Team lead and
Experience with Visual Studio, OOPS and REST API, Web Forms, Web API, MVC, JavaScript, bootstrap CSS.

· Good in developing ASP.NET MVC / ASP.NET Core MVC applications
· Proficient knowledge in HTML, CSS, Bootstrap, JavaScript, Angular, jQuery
· Proficient knowledge in MSSQL / MySQL
· Database design including indexes and data integrity.
· Writing tests with NUnit / XUnit / MSTest
Key Responsibility: 

Analysing requirements and designing new functionality

· Supporting and fixing existing functionality
· Ensuring a required level of performance
· Delivering a high-quality application
· Database design including indexes and data integrity
· Should have good hold on standard coding practices/ guidelines and experience in Code Review
Qualification:  B.E/B.Tech/M.Tech/MCA /IT Diploma
Job Location: Jasola Delhi (work from office)
Exp: Freshers – 1 Year
Job Type: Full-time
Salary: ₹8,895.00 - ₹22,064.00 per month
Schedule:

Day shift

Speak with the employer+91-XXXXXXXXXX",5
Software scientist,"Nexplace info private limitedNoida, Uttar Pradesh","₹5,00,000 - ₹7,00,000 a year","
should have experience in c++
should have experience in Quality tools or QT
add on experience on python
should have 2+ years of exp
candidate shouldn't be from delhi, uttar pradesh and bihar

Job Type: Full-time
Salary: ₹500,000.00 - ₹700,000.00 per year
Schedule:

Day shift

Ability to commute/relocate:

Noida, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)

Experience:

total work: 2 years (Preferred)
",na
Software Engineer Trainee / Freshers,"BucleLabs Pvt. Ltd.Gurgaon, Haryana","₹3,00,000 - ₹5,00,000 a year","Job Description – Software Engineer (Frontend / Backend)
If you are a Software Enthusiast and are excited by the opportunity to work with a start-up in cutting edge technology, come and join us. Our company is looking for Software Engineer.
Job location
Sushant Lok 1, Sector 43, Gurgaon.
Work Experience
0-1 year / Freshers
Position 
Trainee / Associate Software Engineer
1. Frontend - Angular / ReactJS
2. Backend - JAVA / Spring Boot
Job location
Sushant Lok 1, Sector - 43, Gurgaon.
CTC
Upto 5 LPA
Service Agreement
18 months
Roles & Responsibilities
· Determining the structure and design of web pages.
· Ensuring user experience determines design choices.
· Developing features to enhance the user experience.
· Striking a balance between functional and aesthetic design.
· Ensuring web design is optimised for smartphones.
· Building reusable code for future use.
· Optimising web pages for maximum speed and scalability.
· Utilising a variety of markup languages to write web pages.
· Maintaining brand consistency throughout the design.
Desired Skills and Experience
· Understanding of key design principles.
· Understanding of server-side CSS.
· Experience with graphic design applications such as Adobe Illustrator is a plus.
· Experience with responsive and adaptive design.
· Understanding of SEO principles.
· Good problem-solving skills.
· Excellent verbal communication skills.
· Good interpersonal skills.
About Company
It is a digital product development company offering a complete set of unique intersections of high-quality code and strong architectural design. Our work includes Product Development, API Design, Crypto game development, Chrome extensions, Web/App scrappers, Mining / staking / baking setup and consultancy, Legacy code migrations, etc. Our major area of expertise is Blockchain. We provide a complete solution to design, build and ship badass world class products and services to clients worldwide. We have helped 50+ clients with our innovative solutions. We cater to education, healthcare, banking, travel, real estate and several more sectors.
Perks & Benefits
· 5 days working
· Appraisals are done twice a year (every 6 months)
· Great opportunity to work and learn with a growing team
· Work with the latest technology
· Team of experienced professionals
· Best in class salary with perks and benefits
· An entrepreneurial working environment with high growth opportunity
Website – https://www.bucle.dev
Regards,
Nandini
Job Type: Full-time
Pay: ₹300,000.00 - ₹500,000.00 per year
Benefits:

Flexible schedule
Paid sick time
Paid time off

Schedule:

Day shift

Supplemental Pay:

Joining bonus
Yearly bonus

Speak with the employer+91-XXXXXXXXXX",na
Software Developer,"CTech Infosolutions Private LimitedJanakpuri, Delhi, Delhi","₹4,15,000 a year","Experience in Microsoft Office, C++, C#,VB.net, java, and knowledge of Database(MS SQL) and good analytical skills of various data handling.Results-oriented, interpersonal, oral, and written communication skills
Job Types: Full-time, Regular / Permanent
Salary: From ₹415,000.00 per year
Benefits:

Commuter assistance
Flexible schedule
Life insurance
Provident Fund

Schedule:

Flexible shift
Rotational shift

Ability to commute/relocate:

Janakpuri, New Delhi - 110058, Delhi: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)

Experience:

C++, C#: 1 year (Preferred)
SQL: 1 year (Preferred)
good analytical skills: 1 year (Preferred)
.NET: 1 year (Preferred)

Language:

English (Preferred)

Speak with the employer+91-XXXXXXXXXXExpected Start Date: 21/05/2022",na
REMOTE - Software Engineer – Java - 15 LPA,"Axle RecruitmentNew Delhi, DelhiRemote",na,"Our client is looking for a software engineer with good logical skills and are responsible for the development and maintenance of a web application. Your primary focus will be the development of web applications and their integration with back-end services. You will be working along-side other engineers and developers working on different layers of the infrastructure
Roles & Responsibilities

Must have 2+ years of experience in Java & Spring Boot
Strong Knowledge in both Spring and Hibernate framework
Strong Knowledge in Spring Security, Spring MVC and Spring Cloud Config
Strong Knowledge in full software development lifecycle to build backend APIs supporting front end applications.
Build RESTful services using Java(Spring).
Ensure the best possible performance, quality, and responsiveness of the applications
Translate application storyboards and use cases into functional applications and basic
Design, build, and maintain efficient, reusable, and reliable Java code
Ensure the best possible performance, quality, and responsiveness of the applications
Excellent knowledge of Relational Databases, SQL and ORM technologies

Preferred Candidate

2+ Years of experience in Java and Spring Boot
Familiarity with Jira, Confluence, Github, Bitbucket other development tools
Immediate Joiners (15 days)

Job Type: Full-time
Salary: Up to ₹15,000.00 per year
Schedule:

Day shift

Application Deadline: 08/06/2022",na
Software Engineer Trainee,"Consult ITNoida, Uttar Pradesh",na,"Looking for young energetic preferably Noida, greater noida, ghaziabad residents with own conveyance to join as as software engineer trainee, who will be trained by us for two months in oracle plsql to work on our projects, one year post joining service period is mandatory, candidates are expected to be bca mca bsc it msc IT or btech cse etc.Strong aptitude , good communication skills, analytical and conceptual skills mustBasic know how of SQL and /or python or any coding language, scripting language, html css java scrip
Job Types: Full-time, Internship, FresherContract length: 2 months
Schedule:

Day shift

Supplemental Pay:

Performance bonus

Ability to commute/relocate:

Greater Noida, Noida - 203207, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Preferred)
",na
Trainee Software Engineer,"Thinkitive Technologies Pvt Ltd3 reviewsPune, Maharashtra","₹22,000 - ₹30,000 a month","Trainee Software Engineer
Eligibility Criteria: 

BE/B.Tech, ME/M.Tech - IT/CS, E&TC, BCA/BCS and MCA/MCS - 2020, 2021 & 2022 Pass-out only.

Location:  Baner, Pune (Work from office)
Must have the following Skills Required: 

Strong Communication & Interpersonal Skills


OOPs & Data Structures


Basic Front-End HTML/CSS & JavaScript


Database - SQL/No-SQL


Basic Networking

Job Description: 

Strong problem-solving skills


Should be a quick learner


Candidate should have good knowledge of logical & designing concepts


Fundamentals C,C++ & OOPs concepts is must


Basic Knowledge of HTML, JavaScript, and CSS is required.


Good to have Knowledge of any web framework.


Good understanding of JavaScript.


Familiarity with databases.


Defect fixing & performance optimization.

Job Types: Full-time, Regular / Permanent
Salary: ₹22,000.00 - ₹30,000.00 per month
Schedule:

Flexible shift

Application Deadline: 31/05/2022",3
Webflow Developer,Saransh Design StudioRemoteRemote,"₹25,000 - ₹75,000 a month","The ideal candidate will be responsible for developing high-quality websites. This is a full-time remote role that will require you to create, develop or revamp (if required) various kinds of websites for our client.
Responsibilities

Be responsible for the development of the website on Webflow developer
Deliver optimized, fast loading, and responsive website
Work on various marketing projects while coordinating with other members.
Have knowledge of Installing & customizing the platform, CMS, and SEO optimization
Maintain and consistently check the health of the website and take ownership of technical SEO optimizations
Strong understanding of cross-browser compatibility issues.
Establishing design guidelines, standards, and best practices

Qualifications

2 years of experience in development (Webflow experience must)
A portfolio of work demonstrating a keen eye for detail and a high level of understanding of design principles for 3+ projects
Familiarity with design software and technologies (such as XD, Figma)
Excellent communication skills

Job Type: Full-time
Pay: ₹25,000.00 - ₹75,000.00 per month
Schedule:

Day shift

Application Question(s):

How many Webflow projects have you worked with?
How many of your Webflow projects are currently live?
Have you written custom code on Webflow?

Experience:

total work: 1 year (Required)
Webflow development: 1 year (Preferred)
JavaScript: 1 year (Preferred)
",na
