Job_position,Company,Location,requirements,posting_frequency,min_sal,max_sal,avg_yearly_sal,monthly_sal,job_title,jr,na,senior,State,job_openings,job_descr_len,redux,net,js,server,css,sql,angular,java,stack,testing,javascript,python,c++,ai,rest,app,react,nodejs,php,ui,database,mvc,ux,unity,html,mobile,mysql,flutter,graphic,apis,cloud,debugging,food,architecture,b2b,healthcare,security,pwas,version,typescript,ios,game,mongo,oops,restful,financial,jquery,iot,bootstrap,freelance,word,aws,git,ruby
na,Parakh Online Pvt Ltd,"New Delhi, Delhi",na,1.0,500000.0,700000.0,600000.0,50000.0,jr,1,0,0,Delhi,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reactjs redux,Codingmart Technologies,"Bengaluru, Karnataka",javascript react,1.0,800000.0,800000.0,800000.0,66666.66666666669,na,0,1,0,Karnataka,1,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Atlanta Systems Pvt Ltd,"Delhi, Delhi",ux,1.0,30000.0,40000.0,35000.0,2916.666666666666,senior,0,0,1,Delhi,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Gorai Technology Solutions,"Bengaluru, Karnataka",rest,1.0,151537.0,645829.0,398683.0,33223.583333333336,jr,1,0,0,Karnataka,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asp net,Hublit Lighting Private Limited,"Delhi, Delhi",c# debugging,1.0,600000.0,600000.0,600000.0,50000.0,na,0,1,0,Delhi,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
html,Roxarth Manhattan,"Delhi, Delhi",na,1.0,97032.0,391080.0,244056.0,20338.0,na,0,1,0,Delhi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Manappuram Finance Limited,"Trichur, Kerala",na,1194.0,204000.0,204000.0,204000.0,17000.0,na,0,1,0,Kerala,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
database,CCS Computers,"New Delhi, Delhi",na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Delhi,1,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Xtend Technologies,"Kochi, Kerala",na,1.0,120000.0,300000.0,210000.0,17500.0,na,0,1,0,Kerala,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Infinitevl Technologies Ltd.,"Manipala, Karnataka",ux,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,2,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
