"Data science intern-1
new",PayPal,"Chennai, Tamil Nadu",,Today,"As a core participant of the analytics team, you will work in the areas of marketing spend optimisation, product performance, business dynamics and data…",https://in.indeed.com//cmp/Paypal
Data Scientist,Terra Economics & Analytics Lab (TEAL),"New Delhi, Delhi",,30+ days ago,"Creating compelling data visualizations and communicating results.As a Data Scientist at TEAL, you'll be taking the plunge into a rich data lake that includes…",https://in.indeed.com//rc/clk?jk=a24b9af6a450984a&fccid=0443c069c830402f&vjs=3
"Data Scientist
new",Hewlett Packard Enterprise,"Bengaluru, Karnataka",,1 day ago,"Can work with large scale computing frameworks, data analysis systems, and modeling environments.Uses machine learning and statistical modeling techniques to…",https://in.indeed.com//rc/clk?jk=b3ecae7a2a59217d&fccid=216eb700022de6f6&vjs=3
"Data Scientist: NLP
new",Fractal.ai,"Bengaluru, Karnataka",,1 day ago,"Build Solutions that identify intent and other features from user comments, chat transcript and other unstructured text data.Basic logical pseudo code writing.",https://in.indeed.com//rc/clk?jk=5a86af0976a276e3&fccid=adad512f93b8b92e&vjs=3
"Data Science Internship
new",Elementals.ai,"Bengaluru, Karnataka","
₹20,000 a month",1 day ago,A simple data science challenge to evaluate your DS skills 3.The internship involves developing various solutions related to NLP and data science.,https://in.indeed.com//rc/clk?jk=a206160b11f084ce&fccid=e770370c7e7b11b2&vjs=3
Data Scientist,Rebalance Technologies LLP,"Air Force Gurgaon, Haryana","
₹5,34,522 - ₹7,08,860 a year",30+ days ago, Should be strong in data structures and algorithms. Delivering real impact to the products and solutions through rigorous data-driven solutions.,https://in.indeed.com//company/Rebalance-Technologies-LLP/jobs/Data-Scientist-96da64864fd1b082?fccid=ab78ce6611819490&vjs=3
"Data Scientist
new",ESHIA SOLUTIONS PVT LTD,"Ahmedabad, Gujarat","
₹30,000 - ₹50,000 a month",1 day ago,"Other software - AWS, Tableau, Power BI, GCP, Azure data bricks, R, R shiny.Demand-supply forecasting, supply chain analysis, markdown optimization for…",https://in.indeed.com//company/ESHIA-SOLUTIONS-PVT-LTD/jobs/Data-Scientist-e40c5ace04858da7?fccid=5bcca64b6526b026&vjs=3
Machine Learning Engineer,VNU SOFTWARE Pvt Ltd.,"Delhi, Delhi","
₹25,000 - ₹40,000 a month",30+ days ago,"We are looking for experience Machine Learning Developer with 1+ years of experience, should have Strong Programming Skills.Application Deadline: 29/11/2020.",https://in.indeed.com//company/VNU-SOFTWARE-PVT-LTD/jobs/Machine-Learning-Engineer-35b52d61b114995b?fccid=ec27436918a082b3&vjs=3
Data Scientist,Pion Global Pvt Ltd,"Bengaluru, Karnataka",,12 days ago,"Machine learning, data science, deep learning.Workmachine learning, data science , deep learning: 1 year (Required).3 to 12 yr of experience.",https://in.indeed.com//company/Growth-gamut/jobs/Data-Scientist-ebc8dd7295a722ed?fccid=dc661951b717e721&vjs=3
"Data science
new",Veritas Technologies LLC,"Pune, Maharashtra","
₹15,736 - ₹19,795 a month",2 days ago,"A data scientist’s typical job duties include: *.Designing, building, and deploying data analysis systems for large data sets.Temporarily due to COVID-19.",https://in.indeed.com//company/Veritas-Technologies/jobs/Data-Science-39d42625f84e0c8e?fccid=455cfc20875b23b9&vjs=3
"Data Scientist
new",RedBixBite Pvt Ltd,"Pune, Maharashtra",,3 days ago,"Supervising the data acquisition process if more data is needed.Verifying data quality, and/or ensuring it via data cleaning.Tableau, DataPrep is a PLUS.",https://in.indeed.com//company/RedBixBite/jobs/Data-Scientist-944e08c9f6c266c4?fccid=54925e8eb1ab9004&vjs=3
Data Scientist,PayPal,"Bengaluru, Karnataka",,30+ days ago,"Build expertise in PayPal data sources to find, manage and simplify complex data.PayPal being a data-driven company, expertise in data analytics will help you…",https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AZUZ1SiG2e4Ouwn9d_PzaL9ycxqvROzmSyfHj86mtRPX8kMGne1k1CfHv2qCqybA8tMU25vkblyu2nfFQo07-OMqXVmqkJqI5Vp5AsvZKlEGBNtK6IW_UVXP1aABEs_BqZ9vRfF5J6a_5DuOvNcz5m-ETvbUcUWv5I9CVF_Z_FFZZ2hDaasoECNJTbgC0WEfJH-eeezcUTpV3MqtAb5o2d09laKUmPus8WmepObBYNQdt1rDjhB3jObzXetbTHXAqiD-r0pKX9-2r08jKLGGAz3a8rpcKphYuSJDacRPJl-sRhZdS1cITv8NIgsEHzvO0ipe2KRuUsHYCH0G581KK5GMz70NoQdETtZ_ZfoovyE5s0Vm_qjel5uTEyYpVCbR9ASbYjvm0eA2LDPdZmxC5oOHsTJeMkJ5Lf8J0WQpZHpEiOu8Hir3S4oCtdNiAOeOauUDGknaOYug==&p=11&fvj=0&vjs=3
"Machine Learning (ML)/Natural Language Processing (NLP) Deve...
new",Pointers Digitech Pvt Ltd.,"New Delhi, Delhi","
₹4,00,000 - ₹5,00,000 a year",2 days ago,"Supervising the data acquisition process if more data is needed.Verifying data quality, and/or ensuring it via data cleaning.Knowledge of Python, Java and R.",https://in.indeed.com//company/Pointers-Inc./jobs/Machine-Learning-Developer-ffcdf6d4c9bdc1d1?fccid=d83bbc80371c00f9&vjs=3
