Job_position,Company,requirements,rating,posting_frequency,avg_yearly_sal,work_category,net_experience,education_level,job_title,State,Cities,job_descr_len
php laravel developer,click bazaar technology pvt ltd,collaborate team full stack front end developer design develop maintain web based application website,4.210000038146973,490,360000.0,0,3.390000104904175,0,0,32,1,101
jr java developer,netxs solution,netxs solution ahmedabad urgent job opening jr java developer looking person knowledge skill listed,2.9700000286102295,551,108000.0,0,4.119999885559082,0,0,6,3,99
database developer,infritz system,year experience database development db sql m sql oracle proactiveness ability work independently within team,3.3399999141693115,1,750000.0,0,1.8200000524520874,0,0,13,7,109
machine learning trainer,k training cum placement pvt ltd,hand experience year part time hour per week job type full time part time contract machine learning year preferred,4.010000228881836,1,48000.0,2,3.109999895095825,0,0,23,4,114
junior software developer,parakh online pvt ltd,experience developing web application using least one popular web framework mvc ideally candidate able build high quality,4.409999847412109,1,600000.0,0,1.2100000381469727,0,0,32,1,121
software developer,wsd consultant pvt ltd,urgent opening developer skill required vb experience salary per month vb year required,4.139999866485596,1,348000.0,0,1.0,0,0,32,1,87
software developer,angel genie,experience level operation available front end creating xhrs vanilla j using custom wrapper around resource,3.619999885559082,1383,1350000.0,0,2.4600000381469727,0,0,26,63,107
web developer designer,northpharm service ltd,rendering graphic element using traditional tool multimedia image processing design software image retouching image manipulation logo conception,3.9000000953674316,524,480000.0,0,2.6700000762939453,0,0,23,4,144
technical analyst,shyam advisory ltd,provide call equity commodity currency research intraday short term long term call job type full time walk,4.7,54,270000.0,2,1.0,1,0,6,21,106
android developer,thinkdebug,strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android,3.3499999046325684,547,290952.0,0,1.909999966621399,0,0,12,14,122
adf developer,iglobal service llc,software development year preferred extensive strong hand experience oracle adf experience designing developing adf based ui,4.159999847412109,359,1690524.0,0,2.380000114440918,0,0,23,4,124
wordpress website developer,forrest love,developer responsible back end front end development including creating wordpress theme plugins using elementor pro essential,3.7699999809265137,313,300000.0,0,2.0,0,0,13,7,125
backend developer go,turgajo technology pvt ltd,experience developing reliable concurrent scalable software b ba computer science equivalent experience good understanding design pattern,3.740000009536743,358,2000000.0,0,2.0,0,0,12,14,137
website developer,teckborn technology pvt ltd,create maintain software documentation b computer science related field integrate data various back end service database,2.5299999713897705,166,300000.0,0,1.559999942779541,0,0,10,2,120
frontend developer mobile apps react native,aum telecom pvt ltd,successful applicant work project management external industrial designer firmware engineer embedded application engineer,3.430000066757202,289,650000.0,0,3.869999885559082,0,0,13,0,121
php developer,g web technology,salary bar deserving candidate total work year required,5.0,89,347976.0,0,1.0,0,0,29,43,55
principal software engineer product based edutech comp,shaw academy,experience designing improving complex software application experience coaching mentoring developer various level experience,3.9,1541,2150000.0,0,3.740000009536743,0,0,10,2,124
c developer window application development,brandygold tech private limited,strong knowledge experience developing window based application window service using threading task third party api dlls,4.0,125,660000.0,0,4.0,0,0,26,10,120
dot net developer,salasar alloy steel industry pvt ltd,independently analyse solve correct issue real time providing problem resolution end end assist developer complex query tuning schema,3.2699999809265137,266,190896.0,0,1.9299999475479126,0,0,13,12,133
frontend developer angularjs work home fully remote,angel genie,strong portfolio excellent attitude must self confident work team individually ability drive project team strong,3.690000057220459,1383,1300000.0,0,3.190000057220459,0,0,26,63,112
ionic developer,iba infotech inc,year work experience ionic framework ionic ionic ui tool building mobile application software development year required,3.0899999141693115,529,480000.0,0,3.0,0,0,26,63,119
web application developer,twassistant,developer provided monthly retainer must available provide assistance needed basis job type part time freelance,3.450000047683716,533,2138400.0,0,2.4000000953674316,0,0,10,2,111
ui ux designer,lunavo lab,date knowledge design software tool like adobe illustrator photoshop figma passionate executing product agile lean,4.5,1451,288000.0,0,1.0,1,0,38,1222,114
operation coordinator,abacusmaster,key person coordinate software development team monitor progress online learning vertical total work year preferred,3.8299999237060547,93,162000.0,0,3.069999933242798,0,0,11,1222,115
sr php developer,vismaad mediatech pvt ltd,candidate must independently done least project experience using ajax dhtml cs technique experience php codeigniter laravel,4.53000020980835,96,210000.0,0,0.9300000071525574,0,0,29,43,123
system administrator largest retail brand sanathnagar hydera,r brother retail india private ltd,installing configuring maintain server network overseeing system performance troubleshooting issue sc computer relevant field study,3.619999885559082,19,168000.0,0,2.0,1,0,23,4,131
sr io developer swift,uae based fin tech,write well designed testable efficient code part go live io application development using swift rest apis google map payment gateway,3.759999990463257,152,1150000.0,0,4.0,1,0,13,7,132
php developer,erisn software solution,maintain quality ensure responsiveness application collaborate engineering team design launch new feature,3.7100000381469727,1093,342000.0,0,2.5,0,0,10,2,105
ui developer frontend developer,itech mission pvt ltd,ideal candidate eye clean artful design posse superior ui skill able translate high level requirement interaction,3.7699999809265137,50,600000.0,0,1.559999942779541,0,0,32,1,113
java angular spring boot developer,integrated personnel service limited,analyze software requirement software functional specification submit work product software configuration management,3.2,1037,897833.5,0,1.5499999523162842,0,0,7,47,116
web developer,codeclouds solution pvt ltd,candidate keen learn job cooperate member contribute positively team logical analytical thinker,4.8,556,350000.0,0,2.119999885559082,0,0,27,6,95
urgent hiring bde edutech company patna,tiara consultancy service,maintaining pipeline sale administration using crm software graduate minimum year experience bde education counseling,3.640000104904175,166,510000.0,0,4.269999980926514,3,0,3,13,117
senior software engineer nodejs react j express typ,cartrabbit,depth knowledge software design practice rest apis working knowledge frontend framework like reactjs plus,3.0999999046325684,76,450000.0,0,2.109999895095825,0,0,22,37,105
mid level java developer immediate interview hire,conflowence,java developer responsible many duty throughout development lifecycle application concept design right testing,3.380000114440918,80,410000.0,0,2.3499999046325684,0,0,22,5,110
software engineer full stack developer,camcom technology pvt ltd,able build responsive website using html cs jquery angularjs vuejs looking highly skilled computer programmer,3.8399999141693115,2,1050000.0,0,2.6700000762939453,0,0,10,2,109
laravel developer,advenith technology private limited,advenith technology pvt ltd looking candidate role laravel developer experience atleast year,4.03000020980835,617,814038.5,0,2.0,0,0,7,47,92
software developer,adhrit solution,knowledge hft crypto high frequency trading job type full time contract salary per year,3.3299999237060547,524,700000.0,2,3.0,0,0,10,2,87
php developer work home,hrd technology,zeal learning new technology troubleshooting testing maintaining core product software database good understanding coding language,3.200000047683716,94,360000.0,0,1.5299999713897705,0,0,38,1222,130
senior net developer,healthxsolutions,net framework help u deploy high quality application proficiency building web based application net developer responsibility include participating,3.2200000286102295,366,611034.0,0,2.8399999141693115,0,0,6,3,146
sr python developer,vrlab technology private limited,good understanding server side templating language jinja mako etc depending technology stack notice period,3.8499999046325684,71,360000.0,0,2.3499999046325684,0,0,13,7,106
