Job_position,Company,Location,Salary,requirements
Junior Software Developer,Parakh Online Pvt Ltd,"New Delhi, Delhi","5,00,000 - 7,00,000 a year","Experience in developing web applications using at least one popular web framework ( MVC).Ideally, the candidate should be able to build high-quality,…"
ReactJS Developer (2+ Years with Redux Exp),Codingmart Technologies,"Bengaluru, Karnataka","8,00,000 a year","To ensure success as a React.js Developer, a talent should have in-depth knowledge of Javascript and React concepts, excellent front-end coding skills, and a…"
Sr. Software Developer,Atlanta Systems Pvt Ltd,"Delhi, Delhi","30,000 - 40,000 a year","Working closely with other developers, UX designers, business and systems analysts.Total work: 3 years (Preferred).Testing and evaluating new programs."
Trainee Software Engineer,Gorai Technology Solutions,"Bengaluru, Karnataka","1,51,537 - 6,45,829 a year","Expected Start Date: 4/1/2021.This job requires very good analytical skills & strong eager to learn.Java, Springboot, JPA, Microservice, Postman, REST APIs,…"
Asp.Net Developer,Hublit Lighting Private Limited,"Delhi, Delhi","50,000 a month","Must possesses experience in creating web applications based on Angular/React, with C# .net hosted on Azure/AWS cloud.Strong analytical and debugging skills."
HTML Developer,Roxarth Manhattan,"Delhi, Delhi","8,086 - 32,590 a month",
Software Engineers - Freshers,Manappuram Finance Limited,"Trichur, Kerala","2,04,000 a year","(Remuneration shall be provided during training period).WE ARE HIRING FRESHERS - 2019/2020 (Pass out batch).Qualification: BE/B.tech (CS/IT/MECH/ECE/EEE), MCA…"
Database Engineer/ Software Developer,CCS Computers,"New Delhi, Delhi",-999,Database/portal development and installation/testing for new databases/applications developed at IBDC.Mirroring/porting of leading biological data repositories…
Software Developer,Xtend Technologies,"Kochi, Kerala","10,000 - 25,000 a month",Ability to self-learn and interested in learning new tools and languages.Sc / B.Tech/ Diploma in Computer Science.0-1 year working experience preferred.
Software Developer,Infinitevl Technologies Ltd.,"Manipala, Karnataka",-999,"Work on creating experiences using devices like HTC Vive, Oculus Quest, Oculus Go, Playstation, Google Cardboard, Google Daydream Understanding UX design…"
Software Developer Trainee,AMCAT,"Bengaluru, Karnataka","2,40,000 - 4,00,000 a year",Our mission is to help you live long & disease-free by using food as medicine.After Training Period: INR 4 LPA.Course Specialization: B.E/B.Tech(CS/IT).
Software Trainee Intern,Crush IT,"Whitefield, Bengaluru, Karnataka","1,80,000 - 4,20,000 a year","Work From Home,stipend in Internship period based on performance.3.Women willing to restart their career.Working on the live project,Project Implementation ,…"
Software Developer,YDTTech Digital,"Hyderabad, Telangana","12,000 - 20,000 a month",Application Deadline: 4/1/2021.Expected Start Date: 4/1/2021.We are new organizations in creating innovative products.We are looking for B.
Node js developer,Chaine,Remote,"50,000 - 1,50,000 a month",Experience creating web applications using JavaScript frameworks.Mastery of Javascript and other back-end languages.You'd like it here because we.
Software Engineer,DearadhPro Automation,"Bengaluru, Karnataka","30,000 - 1,50,000 a month","Total work: 3 years (Required).Preferable experience in Javascript, chromium, HTML, installable setup file generator, and web debugging using inspector and…"
