Statistics,Machine  learning ,Deep Learning,R language,Python Language,NLP,Data Engineering,Web Development,Coding,Software Development
statistical models ,linear regression ,neural network,r,python,nlp,aws,html,dsa,c++
statistical modeling ,logistic regression ,keras,ggplot,flask,natural language processing,ec2,css,c++,java
probability,K means ,theano,shiny,django,topic modeling,amazon redshift,react,java,python
normal distribution ,random forest ,face detection,cran,pandas,lda,s3,npm,python,testing
poisson distribution,xgboost ,convolutinal neural network,dplyr,numpy,named entity recognition,docker,postman,data structures,mean
 survival models ,Pca ,CNN,tidyr,scikitlearn,pos tagging,kubernetes,javascipt,algorithms,ruby
hypothesis testing ,bayes ,RNN,lubridate,sklearn,word2vec,scala,jquery,,tdd
bayesian inference,decision trees ,object detection,knitr,matplotlib,word embedding,teradata,graphql,,
factor analysis,svd ,yolo,,scipy,lsi,google big query,css preprocessors,,
forecasting,ensemble models ,gpu,,bokeh,spacy,aws lambda,rest,,
markov chain ,boltzman rnachine,cuda,,statsmodel,genism,aws emr,responsive design,,
monte carlo,,tensorflow,,,nltk,hive,github,,
,,pytorch,,,nmf,hadoop,git,,
,,lstm,,,doc2vec,sql,php,,
,,gan,,,cbow,,,,
,,opencv,,,bag of words,,,,
,,,,,skip gram,,,,
,,,,,bert,,,,
,,,,,sentiment analysis,,,,
,,,,,chat bot,,,,
